obj,sub,array3,ObjRotation,grasp,type,HandRotation,HandPosition,ObjPosition
obj5,sub6,"[[-0.86376104 -0.16634878  0.14963074]
 [-0.86531739 -0.1156158   0.06198261]]",[-0.01698415 -0.91100824  0.4065899   0.06678456],grasp3,optimal0,[ 1.37575982  1.31262171  1.11271763  0.91705754],[-0.90242123 -0.13199972  0.00935294],[-0.81580122 -0.15079044  0.22969245]
obj5,sub6,"[[-0.85601929 -0.12403619  0.11106494]
 [-0.80334204 -0.16566707  0.11115114]]",[ 0.03272641  0.92843313 -0.36731478 -0.04495289],grasp3,extreme0,[ 1.37554049  1.44145112  1.11868108  0.91179818],[-0.90890551 -0.14101135  0.00935276],[-0.80866763 -0.14812213  0.28135482]
obj5,sub6,"[[-0.83462906 -0.07140914  0.06574489]
 [-0.83459862 -0.07477776  0.01679379]]",[ 0.41968774 -0.59448206  0.37397063  0.5749776 ],grasp4,optimal0,[ 1.25155436  1.29035741  1.2162377   0.01849543],[-0.85971796 -0.0810972   0.01006906],[-0.79050756 -0.24595232  0.03570188]
obj5,sub6,"[[-0.83151591 -0.17990751  0.09588649]
 [-0.81966098 -0.0762694   0.10377259]]",[ 0.40838034 -0.53630898  0.44473771  0.58975126],grasp4,extreme0,[ 1.33542148  1.31184839  1.16092174  0.01849543],[-0.85018105 -0.07863662  0.01010501],[-0.7899397  -0.24903002  0.07652633]
obj5,sub6,"[[ -8.01388297e-01  -1.76134709e-01   1.93147585e-02]
 [ -8.11786538e-01  -7.97724246e-02   6.26623461e-04]]",[ 0.39289671 -0.5759561   0.45379881  0.55495351],grasp4,extreme1,[ 1.33840929  1.32086057  1.15795829  0.01884605],[-0.83777818 -0.08377435  0.00911877],[-0.77798377 -0.25365286 -0.01106399]
obj11,sub7,"[[-0.88855857 -0.13578516  0.11887778]
 [-0.85245404 -0.1349754   0.08204196]]",[ 0.03163996  0.93059888 -0.01492038 -0.36436522],grasp1,optimal0,[ 1.41899247  1.37685794  1.3659586   0.07415701],[-0.8443883  -0.14190195  0.13400342],[-0.75847154 -0.13626885  0.23099484]
obj11,sub7,"[[-0.86272396 -0.12615443  0.03513176]
 [-0.83781817 -0.1372581   0.02524328]]",[ 0.01577378  0.96283673  0.21071585 -0.16821251],grasp1,extreme0,[ 1.40072441  1.3856508   1.37433718  0.0681964 ],[-0.86171685 -0.14084424  0.0724048 ],[-0.78275297 -0.10643509  0.18688274]
obj11,sub7,"[[-0.80215411 -0.172947    0.04007656]
 [-0.8540311  -0.16955695  0.05273138]]",[-0.11626933  0.01876823  0.98635669 -0.11502035],grasp1,extreme1,[ 1.40362693  1.39768736  1.36527625  0.07547185],[-0.85238025 -0.15310195  0.09324162],[-0.78511415 -0.12449138  0.20654162]
obj11,sub7,"[[-0.78984409 -0.15628764  0.09334369]
 [-0.86667291 -0.13290728  0.0966465 ]]",[ 0.02655872 -0.75361986  0.14634661  0.6402612 ],grasp2,optimal0,[ 1.62741522  1.46778523  1.1722562   0.01437559],[-0.87736104 -0.14539116  0.10074929],[-0.71079783 -0.16020956  0.1066895 ]
obj11,sub7,"[[-0.82341081 -0.28488328 -0.01780769]
 [-0.84686556 -0.30579291 -0.00798538]]",[-0.46467226 -0.45107702  0.56335999  0.51306406],grasp3,optimal0,[ 1.74596583  1.5101782   0.85407002  1.5247769 ],[-0.86364695 -0.29561341  0.02098428],[-0.67328199 -0.31008961 -0.00690696]
obj11,sub7,"[[-0.75193166 -0.30144599 -0.01595059]
 [-0.82697141 -0.28394111 -0.01773062]]",[-0.46684603 -0.45370522  0.56192125  0.51034388],grasp3,extreme0,[ 1.70774412  1.56043333  0.85290028  1.53406844],[-0.82867542 -0.29471125  0.01842674],[-0.67361709 -0.31145828 -0.00687724]
obj11,sub7,"[[-0.79957988 -0.17871262  0.02071975]
 [-0.79067698 -0.15698454  0.02272053]]",[ 0.30727689 -0.7506057  -0.55575683  0.18250024],grasp4,optimal0,[ 1.6196079   1.6360091   0.38651442  1.57640631],[-0.78573063 -0.17056305  0.01509887],[-0.69173177 -0.20999852  0.14051113]
obj11,sub7,"[[-0.79262437 -0.18079676  0.01014095]
 [-0.77736206 -0.162276    0.00851155]]",[ 0.28817917 -0.77700356 -0.52699199  0.18840827],grasp4,extreme0,[ 1.61157811  1.65072019  0.38653879  1.57658163],[-0.77559271 -0.17554001  0.0138996 ],[-0.68806708 -0.21005608  0.13420141]
obj11,sub7,"[[-0.78878822 -0.18237476  0.00667694]
 [-0.78335285 -0.15871298  0.01292582]]",[ 0.28804701 -0.77748218 -0.52619089  0.18887437],grasp4,extreme1,[ 1.61200458  1.63771547  0.38655097  1.57815943],[-0.78189517 -0.17269403 -0.00130499],[-0.68814521 -0.21013663  0.13423951]
obj13,sub7,"[[-0.81836105 -0.22260676  0.04322488]
 [-0.79890127 -0.18755004  0.0067551 ]]",[ 0.34378011 -0.72412549 -0.02142266  0.59749359],grasp5,optimal0,[ 1.42891091  1.29628331  1.28272156  0.01393731],[-0.82838602 -0.24400019  0.04599321],[-0.66575013 -0.30095841  0.03369562]
obj13,sub7,"[[-0.8411884  -0.25672755 -0.07600082]
 [-0.84396817 -0.24540911 -0.12715194]]",[ 0.08429914 -0.70341112  0.09431473  0.69943633],grasp5,extreme0,[ 1.45625208  1.35278373  1.26028425  0.01498918],[-0.86038402 -0.26897759 -0.05616345],[-0.67838207 -0.30320227 -0.09165882]
obj13,sub7,"[[-0.84154024 -0.26114887 -0.07149909]
 [-0.84165983 -0.25257603 -0.12350809]]",[ 0.09963856 -0.70357662  0.07402926  0.69969405],grasp5,extreme1,[ 1.47144704  1.40915475  1.26296948  0.01367434],[-0.83424058 -0.27816446 -0.06677318],[-0.67874224 -0.30351267 -0.09045329]
obj13,sub7,"[[-0.86190074 -0.32987425  0.10588581]
 [-0.92327027 -0.35328781  0.0894694 ]]",[ 0.03960505 -0.80657415  0.17330978  0.56376706],grasp6,optimal0,[ 1.82554181  1.76180306  1.54175835  0.01148294],[-0.90269125 -0.34727075  0.11168891],[-0.79129817 -0.37238492  0.11752853]
obj13,sub7,"[[-0.86780692 -0.27761329 -0.02362973]
 [-0.88310674 -0.26550333 -0.02465402]]",[ 0.08696465 -0.78447916  0.0654276   0.61053159],grasp6,extreme0,[ 1.84811609  1.80381524  1.60311762  0.00999279],[-0.91413785 -0.30329007  0.00722924],[-0.79511361 -0.31683079 -0.0197098 ]
obj13,sub7,"[[-0.8604624  -0.2734512  -0.04798677]
 [-0.88092005 -0.26246436 -0.02430818]]",[ 0.09221133 -0.78475188  0.07853822  0.60785961],grasp6,extreme1,[ 1.85764819  1.87474232  1.57975121  0.0115706 ],[-0.90493265 -0.29716667 -0.02057204],[-0.79497454 -0.31426639 -0.01921043]
